Météo,Comptage_horaire
Soleil,96.67120609419352
Orage,89.83765182186235
Partiellement nuageux,87.06502786744352
Pluie fine à légère,78.90197326543603
Grêle ou grésil,68.42121524201853
Neige,67.75222834251377
Pluie modérée à forte,64.25406737880033
Brouillard,25.624615384615385
