Avis_meteo,Comptage_horaire
1-météo très défavorable,56.719784956484446
2-météo défavorable,58.729187674314296
3-météo correcte,69.43399728336945
4-météo favorable,78.91001680891064
5-météo idéale,75.06269312641626
