UV_soleil,Comptage_horaire
1,50.10488028527764
2,55.45161808088467
3,60.90235360162213
4,69.52489101426767
5,75.08245803257833
6,77.59395269446476
7,71.59081216830933
8,66.18955176767676
9,80.38480392156863
