Température,Comptage_horaire
-4.0,31.991935483870968
-3.0,35.85443037974684
-2.0,99.7074074074074
-1.0,62.66694584031267
0.0,59.92350956130484
1.0,64.93234932349324
2.0,71.80210181520404
3.0,67.18030745913175
4.0,69.75089246843709
5.0,78.61443624418753
6.0,77.78103459594301
7.0,76.69267387727957
8.0,77.64151626559715
9.0,80.89572810951145
10.0,83.20905197095674
11.0,81.67781003732891
12.0,86.10773181169758
13.0,86.28685839097197
14.0,87.31902591660432
15.0,90.14158797012273
16.0,94.20348737330356
17.0,86.65996348907525
18.0,100.00143683740437
19.0,98.48679097154073
20.0,102.75821585394037
21.0,93.9726685216767
22.0,101.06691176470588
23.0,103.1430709023941
24.0,112.30278243379149
25.0,106.51892468205011
26.0,117.06946500317191
27.0,109.59930346385542
28.0,112.78253535746724
29.0,109.08440868377106
30.0,97.0083707025411
31.0,95.71527477282562
32.0,87.69487750556793
33.0,87.69290573372206
34.0,101.45762711864407
35.0,103.27388109552439
36.0,62.9040404040404
37.0,67.33333333333333
38.0,103.66032608695652
39.0,93.04375
40.0,98.02296819787986
41.0,102.39839572192513
