Saison,Week_or_not,Comptage_horaire
automne,Semaine,79.64071434361574
automne,Weekend,49.192237408442196
hiver,Semaine,61.83081577560875
hiver,Weekend,38.551332181504044
printemps,Semaine,77.1308958389342
printemps,Weekend,55.27701627330266
été,Semaine,74.08938550508248
été,Weekend,52.921261179667155
